************************************************************************
        TABLE OF ISOTOPES  0.100E+00  0.100E+03

        NO. SYMBOL T/F MASSNR PROTON
        1100  =  NGIS           5  =  ISOMERS
         661   ND139     T  139.    60.   1
         662   ND140     T  140.    60.   1
         663   ND141     T  141.    60.   1
         664   ND142     T  142.    60.   1
         665   ND143     T  143.    60.   1
         666   ND144     T  144.    60.   1
         667   ND145     T  145.    60.   1
         668   ND146     T  146.    60.   1
         669   ND147     T  147.    60.   1
         670   ND148     T  148.    60.   1
         671   ND149     T  149.    60.   1
         672   ND150     T  150.    60.   1
         673   ND151     T  151.    60.   1
         674   ND152     T  152.    60.   1
         675   PM137     T  137.    61.   1
         676   PM138     T  138.    61.   1
         677   PM139     T  139.    61.   1
         678   PM140     T  140.    61.   1
         679   PM141     T  141.    61.   1
         680   PM142     T  142.    61.   1
         681   PM143     T  143.    61.   1
         682   PM144     T  144.    61.   1
         683   PM145     T  145.    61.   1
         684   PM146     T  146.    61.   1
         685   PM147     T  147.    61.   1
         686   PM148     T  148.    61.   1
         687   PM149     T  149.    61.   1
         688   PM150     T  150.    61.   1
         689   PM151     T  151.    61.   1
         690   PM152     T  152.    61.   1
         691   PM153     T  153.    61.   1
         692   PM154     T  154.    61.   1
         693   SM140     T  140.    62.   1
         694   SM141     T  141.    62.   1
         695   SM142     T  142.    62.   1
         696   SM143     T  143.    62.   1
         697   SM144     T  144.    62.   1
         698   SM145     T  145.    62.   1
         699   SM146     T  146.    62.   1
         700   SM147     T  147.    62.   1
         701   SM148     T  148.    62.   1
         702   SM149     T  149.    62.   1
         703   SM150     T  150.    62.   1
         704   SM151     T  151.    62.   1
         705   SM152     T  152.    62.   1
         706   SM153     T  153.    62.   1
         707   SM154     T  154.    62.   1
         708   SM155     T  155.    62.   1
         709   SM156     T  156.    62.   1
         710   SM157     T  157.    62.   1
         711   SM158     T  158.    62.   1
         712   EU143     T  143.    63.   1
         713   EU144     T  144.    63.   1
         714   EU145     T  145.    63.   1
         715   EU146     T  146.    63.   1
         716   EU147     T  147.    63.   1
         717   EU148     T  148.    63.   1
         718   EU149     T  149.    63.   1
         719   EU150     T  150.    63.   1
         720   EU151     T  151.    63.   1
         721   EU152     T  152.    63.   1
         722   EU153     T  153.    63.   1
         723   EU154     T  154.    63.   1
         724   EU155     T  155.    63.   1
         725   EU156     T  156.    63.   1
         726   EU157     T  157.    63.   1
         727   EU158     T  158.    63.   1
         728   EU159     T  159.    63.   1
         729   GD144     T  144.    64.   1
         730   GD145     T  145.    64.   1
         731   GD146     T  146.    64.   1
         732   GD147     T  147.    64.   1
         733   GD148     T  148.    64.   1
         734   GD149     T  149.    64.   1
         735   GD150     T  150.    64.   1
         736   GD151     T  151.    64.   1
         737   GD152     T  152.    64.   1
         738   GD153     T  153.    64.   1
         739   GD154     T  154.    64.   1
         740   GD155     T  155.    64.   1
         741   GD156     T  156.    64.   1
         742   GD157     T  157.    64.   1
         743   GD158     T  158.    64.   1
         744   GD159     T  159.    64.   1
         745   GD160     T  160.    64.   1
         746   GD161     T  161.    64.   1
         747   GD162     T  162.    64.   1
         748   TB147     T  147.    65.   1
         749   TB148     T  148.    65.   1
         750   TB149     T  149.    65.   1
         751   TB150     T  150.    65.   1
         752   TB151     T  151.    65.   1
         753   TB152     T  152.    65.   1
         754   TB153     T  153.    65.   1
         755   TB154     T  154.    65.   1
         756   TB155     T  155.    65.   1
         757   TB156     T  156.    65.   1
         758   TB157     T  157.    65.   1
         759   TB158     T  158.    65.   1
         760   TB159     T  159.    65.   1
         761   TB160     T  160.    65.   1
         762   TB161     T  161.    65.   1
         763   TB162     T  162.    65.   1
         764   TB163     T  163.    65.   1
         765   TB164     T  164.    65.   1
         766   TB165     T  165.    65.   1
         767   DY148     T  148.    66.   1
         768   DY149     T  149.    66.   1
         769   DY150     T  150.    66.   1
         770   DY151     T  151.    66.   1
         771   DY152     T  152.    66.   1
         772   DY153     T  153.    66.   1
         773   DY154     T  154.    66.   1
         774   DY155     T  155.    66.   1
         775   DY156     T  156.    66.   1
         776   DY157     T  157.    66.   1
         777   DY158     T  158.    66.   1
         778   DY159     T  159.    66.   1
         779   DY160     T  160.    66.   1
