 initial abundance for selected isotopes
  647   0.00000E+00  PR141
  648   0.00000E+00  PR142
  649   0.00000E+00  PR143
  650   0.00000E+00  PR144
  651   0.00000E+00  PR145
  652   0.00000E+00  PR146
  653   0.00000E+00  PR147
  654   0.00000E+00  PR148
  655   0.00000E+00  PR149
  656   0.00000E+00  ND134
  657   0.00000E+00  ND135
  658   0.00000E+00  ND136
  659   0.00000E+00  ND137
  660   0.00000E+00  ND138
  661   0.00000E+00  ND139
  662   0.00000E+00  ND140
  663   0.00000E+00  ND141
  664   0.00000E+00  ND142
  665   0.00000E+00  ND143
  666   0.00000E+00  ND144
  667   0.00000E+00  ND145
  668   0.00000E+00  ND146
  669   0.00000E+00  ND147
  670   0.00000E+00  ND148
  671   0.00000E+00  ND149
  672   0.00000E+00  ND150
  673   0.00000E+00  ND151
  674   0.00000E+00  ND152
  675   0.00000E+00  PM137
  676   0.00000E+00  PM138
  677   0.00000E+00  PM139
  678   0.00000E+00  PM140
  679   0.00000E+00  PM141
  680   0.00000E+00  PM142
  681   0.00000E+00  PM143
  682   0.00000E+00  PM144
  683   0.00000E+00  PM145
  684   0.00000E+00  PM146
  685   0.00000E+00  PM147
  686   0.00000E+00  PM148
  687   0.00000E+00  PM149
  688   0.00000E+00  PM150
  689   0.00000E+00  PM151
  690   0.00000E+00  PM152
  691   0.00000E+00  PM153
  692   0.00000E+00  PM154
  693   0.00000E+00  SM140
  694   0.00000E+00  SM141
  695   0.00000E+00  SM142
  696   0.00000E+00  SM143
  697   0.00000E+00  SM144
  698   0.00000E+00  SM145
  699   0.00000E+00  SM146
  700   0.00000E+00  SM147
  701   0.00000E+00  SM148
  702   0.00000E+00  SM149
  703   0.00000E+00  SM150
  704   0.00000E+00  SM151
  705   0.00000E+00  SM152
  706   0.00000E+00  SM153
  707   0.00000E+00  SM154
  708   0.00000E+00  SM155
  709   0.00000E+00  SM156
  710   0.00000E+00  SM157
  711   0.00000E+00  SM158
  712   0.00000E+00  EU143
  713   0.00000E+00  EU144
  714   0.00000E+00  EU145
  715   0.00000E+00  EU146
  716   0.00000E+00  EU147
  717   0.00000E+00  EU148
  718   0.00000E+00  EU149
  719   0.00000E+00  EU150
  720   0.00000E+00  EU151
  721   0.00000E+00  EU152
  722   0.00000E+00  EU153
  723   0.00000E+00  EU154
  724   0.00000E+00  EU155
  725   0.00000E+00  EU156
  726   0.00000E+00  EU157
  727   0.00000E+00  EU158
  728   0.00000E+00  EU159
  729   0.00000E+00  GD144
  730   0.00000E+00  GD145
  731   0.00000E+00  GD146
  732   0.00000E+00  GD147
  733   0.00000E+00  GD148
  734   0.00000E+00  GD149
  735   0.00000E+00  GD150
  736   0.00000E+00  GD151
  737   0.00000E+00  GD152
  738   0.00000E+00  GD153
  739   0.00000E+00  GD154
  740   0.00000E+00  GD155
  741   0.00000E+00  GD156
  742   0.00000E+00  GD157
  743   0.00000E+00  GD158
  744   0.00000E+00  GD159
  745   0.00000E+00  GD160
  746   0.00000E+00  GD161
  747   0.00000E+00  GD162
  748   0.00000E+00  TB147
  749   0.00000E+00  TB148
  750   0.00000E+00  TB149
  751   0.00000E+00  TB150
  752   0.00000E+00  TB151
  753   0.00000E+00  TB152
  754   0.00000E+00  TB153
  755   0.00000E+00  TB154
  756   0.00000E+00  TB155
  757   0.00000E+00  TB156
  758   0.00000E+00  TB157
  759   0.00000E+00  TB158
  760   0.00000E+00  TB159
  761   0.00000E+00  TB160
  762   0.00000E+00  TB161
  763   0.00000E+00  TB162
  764   0.00000E+00  TB163
  765   0.00000E+00  TB164
  766   0.00000E+00  TB165
  767   0.00000E+00  DY148
  768   0.00000E+00  DY149
  769   0.00000E+00  DY150
  770   0.00000E+00  DY151
  771   0.00000E+00  DY152
  772   0.00000E+00  DY153
  773   0.00000E+00  DY154
  774   0.00000E+00  DY155
  775   0.00000E+00  DY156
  776   0.00000E+00  DY157
  777   0.00000E+00  DY158
  778   0.00000E+00  DY159
  779   0.00000E+00  DY160
  780   0.00000E+00  DY161
  781   0.00000E+00  DY162
  782   0.00000E+00  DY163
  783   0.00000E+00  DY164
  784   0.00000E+00  DY165
  785   0.00000E+00  DY166
  786   0.00000E+00  DY167
  787   0.00000E+00  DY168
  788   0.00000E+00  HO153
  789   0.00000E+00  HO154
  790   0.00000E+00  HO155
  791   0.00000E+00  HO156
  792   0.00000E+00  HO157
  793   0.00000E+00  HO158
  794   0.00000E+00  HO159
  795   0.00000E+00  HO160
  796   0.00000E+00  HO161
  797   0.00000E+00  HO162
  798   0.00000E+00  HO163
  799   0.00000E+00  HO164
  800   0.00000E+00  HO165
  801   0.00000E+00  HO166
  802   0.00000E+00  HO167
  803   0.00000E+00  HO168
  804   0.00000E+00  HO169
  805   0.00000E+00  ER154
  806   0.00000E+00  ER155
  807   0.00000E+00  ER156
  808   0.00000E+00  ER157
  809   0.00000E+00  ER158
  810   0.00000E+00  ER159
  811   0.00000E+00  ER160
  812   0.00000E+00  ER161
  813   0.00000E+00  ER162
  814   0.00000E+00  ER163
  815   0.00000E+00  ER164
  816   0.00000E+00  ER165
  817   0.00000E+00  ER166
  818   0.00000E+00  ER167
  819   0.00000E+00  ER168
  820   0.00000E+00  ER169
  821   0.00000E+00  ER170
  822   0.00000E+00  ER171
  823   0.00000E+00  ER172
  824   0.00000E+00  ER173
  825   0.00000E+00  ER174
  826   0.00000E+00  ER175
  827   0.00000E+00  TM159
  828   0.00000E+00  TM160
  829   0.00000E+00  TM161
  830   0.00000E+00  TM162
  831   0.00000E+00  TM163
  832   0.00000E+00  TM164
  833   0.00000E+00  TM165
  834   0.00000E+00  TM166
  835   0.00000E+00  TM167
  836   0.00000E+00  TM168
  837   0.00000E+00  TM169
  838   0.00000E+00  TM170
  839   0.00000E+00  TM171
  840   0.00000E+00  TM172
  841   0.00000E+00  TM173
  842   0.00000E+00  TM174
  843   0.00000E+00  TM175
  844   0.00000E+00  TM176
  845   0.00000E+00  YB160
  846   0.00000E+00  YB161
  847   0.00000E+00  YB162
  848   0.00000E+00  YB163
  849   0.00000E+00  YB164
  850   0.00000E+00  YB165
  851   0.00000E+00  YB166
  852   0.00000E+00  YB167
  853   0.00000E+00  YB168
  854   0.00000E+00  YB169
  855   0.00000E+00  YB170
  856   0.00000E+00  YB171
  857   0.00000E+00  YB172
  858   0.00000E+00  YB173
  859   0.00000E+00  YB174
  860   0.00000E+00  YB175
  861   0.00000E+00  YB176
  862   0.00000E+00  YB177
  863   0.00000E+00  YB178
  864   0.00000E+00  YB179
  865   0.00000E+00  YB180
  866   0.00000E+00  LU165
  867   0.00000E+00  LU166
  868   0.00000E+00  LU167
  869   0.00000E+00  LU168
  870   0.00000E+00  LU169
  871   0.00000E+00  LU170
  872   0.00000E+00  LU171
  873   0.00000E+00  LU172
  874   0.00000E+00  LU173
  875   0.00000E+00  LU174
